recipe_code,source_recipe_code,recipe_name,recipe_display_name,source,status,category,meal_type,preference
ANN-000750,BFP443,MINT TOMATO CHUTNEY,Mint tomato chutney (Pudinay aur tamatar ki chutney),bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000768,BFP466,RIBBON SANDWICH,Ribbon sandwich,bfp_manual,active,starter,"[""snack""]",vegetarian
ANN-000227,ASC233,Chicken Yakhni,Chicken yakhni,asc_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000938,OSR075,Gobi Manchurian,Cabbage manchurian (Pattagobhi manchurian),open_source_recipes,active,starter,"[""snack""]",vegetarian
ANN-000502,BFP026,GINGO,Gingo,bfp_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000731,BFP406,ATTA BESAN LADDOO,Wheat and gram flour ladoo (Atta besan ladoo),bfp_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000801,BFP516,JELLY BISCUIT,Jelly biscuit,bfp_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000519,BFP055,PUFFY OMELETTE,Puffy omelette/omlet,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000048,ASC050,Oatmeal Porridge,Oatmeal Porridge,asc_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000213,ASC219,Avial,Avial,asc_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000427,ASC446,Pin Wheel Biscuit,Pin wheel biscuit,asc_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000940,OSR077,Paneer Lababdar,Paneer lababdar,open_source_recipes,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000923,OSR060,Potato pickle,Potato pickle (Aloo ka achaar),open_source_recipes,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000034,ASC035,Salami sandwich ,Salami sandwich,asc_manual,active,starter,"[""snack""]",non_vegetarian
ANN-000692,BFP348,STRAWBERRY ICE CREAM,Strawberry ice cream,bfp_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000661,BFP293,CAULIFLOWER AU GRATIN,Cauliflower au gratin,bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000106,ASC108,Spinach poories,Spinach poori (Palak poori),asc_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000917,OSR054,Sweet peach pickle,Sweet peach pickle (Aadoo ka achaar),open_source_recipes,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000997,OSR137,Lemon coriander soup,Lemon coriander soup,open_source_recipes,active,soup,"[""lunch"", ""dinner""]",vegetarian
ANN-000982,OSR122,Carrot cake,Carrot cake (Gajar ka cake),open_source_recipes,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000487,ASC513,Raw Mango Chutney,Raw mango chutney (Kachhe aam/Kairi ki chutney),asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000942,OSR079,Sauteed Radishes with Green Beans,Sauteed radishes with green beans,open_source_recipes,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000825,BFP552,CEREAL PULSE MIX WITH AMYLASE RICE FLOUR,Cereal pulse mix with amylase rice flour,bfp_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000986,OSR126,Almond cardamom cake,Almond cardamom cake (Badam elaichi cake),open_source_recipes,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000134,ASC136,Cheese noodle ring,Cheese noodle ring,asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",eggetarian
ANN-000871,OSR007,Apple oats chia seed smoothie,Apple oats chia seed smoothie,open_source_recipes,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000991,OSR131,Baked potato soup,Baked potato soup,open_source_recipes,active,soup,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000926,OSR063,Fish orly,Fish orly,open_source_recipes,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000778,BFP480,JAM FILLING,Jam filling,bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000440,ASC459,Peanut Burfi,Peanut burfi (Moongfali ki burfi),asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000306,ASC317,Orange and Pineapple Cream,Orange and pineapple cream,asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000747,BFP439,KHAMAN (DHOKLA),Khaman (dhokla),bfp_manual,active,snack,"[""snack""]",non_vegetarian
ANN-000795,BFP508,CHRISTMAS BISCUITS,Christmas biscuit,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000495,BFP007,Kashmiri Tea (Kehwa),Kashmiri tea (Kehwa),bfp_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000116,ASC118,Paneer Pulao,Paneer pulao,asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000191,ASC197,Gravy for Kofta,Gravy for kofta,asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000841,BFP570,BESAN BAHTHUA CHEELA,Besan bathua chilla/cheela,bfp_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000809,BFP529,APPLE BANANA PIE,Apple banana pie,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",non_vegetarian
ANN-000885,OSR021,Amaranth ladoo,Amaranth ladoo (Rajgira ladoo),open_source_recipes,active,dessert,"[""anytime""]",vegetarian
ANN-000860,BFP604,STUFFED KARELA (DRY),Stuffed bittergourd (dry) (Bharwa karela),bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000396,ASC414,Hot Potato Souffle,Hot potato souffle,asc_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000856,BFP598,SWEET AND SOUR TOMATO PICKLE,Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000311,ASC322,Steamed Orange Pudding,Steamed orange pudding,asc_manual,active,beverage,"[""breakfast"", ""snack""]",eggetarian
ANN-000625,BFP234,FISH SOUFFLE,Fish souffle,bfp_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000118,ASC120,Navratan Pulao,Navratan pulao,asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000715,BFP373,PAVLOVA,Pavlova,bfp_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000439,ASC458,Soyabean Namakparas,Soyabean namak paras,asc_manual,active,starter,"[""snack""]",vegetarian
ANN-000017,ASC018,Pineapple Milkshake,Pineapple milkshake (Ananas milkshake),asc_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000141,ASC143,BHATURA,Bhatura,asc_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000798,BFP511,CHRISTMAS STAR BISCUIT,Christmas star biscuit,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000303,ASC314,Apple Mousse,Apple mousse,asc_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000685,BFP329,GRAPES RAITA,Grapes raita (Angoor ka raita),bfp_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000927,OSR064,Hariyali fish tikka,Hariyali Fish Tikka,open_source_recipes,active,starter,"[""snack""]",non_vegetarian
ANN-000058,ASC060,Baked Egg,Baked egg ,asc_manual,active,breakfast,"[""breakfast""]",eggetarian
ANN-000206,ASC212,Shepherd's Pie,Shepherd's pie (vegetarian),asc_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000060,ASC062,Stuffed Egg Omelette,Stuffed egg omelette/omlet,asc_manual,active,breakfast,"[""breakfast""]",non_vegetarian
ANN-000562,BFP141,MUTTON PULAO,Mutton pulao,bfp_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",non_vegetarian
ANN-000430,ASC449,Ice Box Cookies,Ice box cookies,asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000448,ASC467,Sweet Channa Dal Roti,Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000420,ASC439,Chocolate Walnut Cookies,Chocolate walnut cookies (Chocolate aur akhrot ke cookies),asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000018,ASC019,Orange Milkshake ,Orange milkshake (Narangi milkshake),asc_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000756,BFP450,DESSICATED COCONUT CHUTNEY,Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000886,OSR022,Chhena poda,Chhena poda,open_source_recipes,active,dessert,"[""anytime""]",vegetarian
ANN-000819,BFP545,VEGETABLE PATTIES,Vegetable patties ,bfp_manual,active,starter,"[""snack""]",vegetarian
ANN-000223,ASC229,Pea Keema Curry,Pea keema curry (Matar keema ki sabzi),asc_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000784,BFP491,DUNDEE CAKE,Dundee cake,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000630,BFP246,POTATO KOFTA CURRY,Potato kofta curry (Aloo kofta curry),bfp_manual,active,main_course,"[""lunch"", ""dinner""]",eggetarian
ANN-000305,ASC316,Mango Mousse,Mango mousse,asc_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000328,ASC339,Kaju Burfi,Cashewnut burfi (Kaju burfi/Kaju katli),asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000851,BFP583,APPLE JELLY,Apple jelly (Seb ki jelly),bfp_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000452,ASC471,Paushtik Ladoo,Paushtik ladoo,asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000314,ASC325,Chocolate Pudding,Chocolate pudding,asc_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000222,ASC228,Palak Mutton,Spinach mutton (Palak mutton),asc_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000214,ASC220,Ala Yakhani,Al yakhani,asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000382,ASC400,Cheese and Mushroom Tart,Cheese and mushroom tart,asc_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000363,ASC376,Cheese Pizza,Cheese pizza,asc_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000967,OSR105,Puttu,Rice puttu (Ari puttu),open_source_recipes,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000295,ASC305,Mango Ice Cream,Mango ice cream,asc_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000483,ASC507,Mango Pickle (1),Mango pickle (Aam ka achaar),asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000103,ASC105,Paneer Parantha,Paneer parantha/paratha,asc_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000813,BFP535,SAVOURY PUFFS,Savoury puffs,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",non_vegetarian
ANN-000707,BFP365,CREAMY CHOCOLATE MOUSSE,Creamy chocolate mousse,bfp_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000104,ASC106,Besan and Spinach Parantha,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),asc_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000755,BFP448,GUN POWDER CHUTNEY,Gun powder chutney,bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000259,ASC267,Low Calorie Quick Mayonnaise,Low calorie quick mayonnaise,asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",eggetarian
ANN-000603,BFP203,NUTRINUGGET SWEET AND SOUR,Soya chunks sweet and sour (Nutrinugget sweet and sour),bfp_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000019,ASC020,Egg Nog,Egg nog,asc_manual,active,breakfast,"[""breakfast""]",eggetarian
ANN-000256,ASC264,Coleslaw,Coleslaw,asc_manual,active,salad,"[""lunch"", ""dinner""]",vegetarian
ANN-000700,BFP358,PEACH MELBA ICE CREAM,Peach melba ice cream,bfp_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000507,BFP036,VERMICELLI PORRIDGE,Vermicelli porridge (Semiya/Seviyan porridge),bfp_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000040,ASC041,Pea Potato toasted sandwich ,Pea potato sandwich (toasted) (Matar aloo ka sandwich),asc_manual,active,starter,"[""snack""]",vegetarian
ANN-000542,BFP095,TARTARE SAUCE,Tartare sauce,bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000615,BFP220,GINGER CHICKEN,Ginger chicken,bfp_manual,active,beverage,"[""breakfast"", ""snack""]",non_vegetarian
ANN-000404,ASC422,Fruit Loaf,Fruit Loaf ,asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000674,BFP312,MAYONNAISE WITHOUT EGGS,Mayonnaise without eggs,bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",eggetarian
ANN-000855,BFP597,BRINJAL PICKLE,Brinjal pickle (Baingan ka achaar),bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000202,ASC208,Baked Vegetables,Baked vegetables,asc_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000925,OSR062,Afghani chicken,Afghani chicken,open_source_recipes,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000394,ASC412,Cheese Patties,Cheese patties,asc_manual,active,starter,"[""snack""]",vegetarian
ANN-000534,BFP079,CREAM OF CARROT SOUP,Cream of carrot soup,bfp_manual,active,soup,"[""lunch"", ""dinner""]",vegetarian
ANN-000347,ASC358,Bread Pakoras,Bread pakora/pakoda,asc_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000333,ASC344,Til Ladoo,Sesame ladoo (Til ke ladoo),asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000360,ASC371,Spinach Channa Dal Cutlet,Spinach chickpeas cutlet (Palak channa dal cutlet),asc_manual,active,starter,"[""snack""]",eggetarian
ANN-000344,ASC355,Spinach Pakoras,Spinach pakora/pakoda (Palak pakoda),asc_manual,active,starter,"[""snack""]",vegetarian
ANN-000244,ASC252,Tandoori Fish,Tandoori fish,asc_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000372,ASC385,Peanut Chutney,Peanut chutney (Mungfali ki chutney),asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000912,OSR049,Gooseberry pickle,Gooseberry pickle (Amla ka achaar),open_source_recipes,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000702,BFP360,HOT CHERRY SAUCE,Hot cherry sauce,bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000125,ASC127,Tamarind Rice,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000402,ASC420,Chocolate cake,Chocolate cake,asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000160,ASC163,Lobia curry,Lobia curry,asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000296,ASC307,Fruit Ice Cream,Fruit Ice cream (Phalon ka Ice cream),asc_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000158,ASC161,Black channa curry,Black channa curry/Bengal gram curry (Kale chane ki curry),asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000186,ASC192,Pea Mushroom curry,Pea mushroom curry (Matar mushroom),asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000391,ASC409,Cheese Balls,Cheese balls,asc_manual,active,main_course,"[""lunch"", ""dinner""]",eggetarian
ANN-000891,OSR027,Prawn sandwich,Prawn sandwich,open_source_recipes,active,starter,"[""snack""]",non_vegetarian
ANN-000532,BFP075,CHEESE SOUP,Cheese soup,bfp_manual,active,soup,"[""lunch"", ""dinner""]",vegetarian
ANN-000169,ASC173,Cabbage and peas,Cabbage and peas (Pattagobhi aur matar),asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000557,BFP133,KASHMIRI 'TAHAR',Kashmiri 'tahar',bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000864,BFP608,(Pineapple) MILKSHAKE WITH ICE CREAM,Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),bfp_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000592,BFP178,GREEN GRAM WHOLE,Green gram whole with baghar (Sabut moong dal with tadka),bfp_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000829,BFP556,SPINACH KHICHRI,Spinach khichri (Palak khichri/khichdi),bfp_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000355,ASC366,Vegetable Cutlet,Vegetable cutlet,asc_manual,active,starter,"[""snack""]",eggetarian
ANN-000653,BFP284,STUFFED VEGETABLE GOURD/GHIA,Stuffed bottle gourd (Stuffed ghiya/lauki),bfp_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000631,BFP249,YAM KOFTA,Yam kofta curry (Zimikand/Suran kofta curry),bfp_manual,active,main_course,"[""lunch"", ""dinner""]",eggetarian
ANN-000361,ASC372,Cheese Toast,Cheese toast,asc_manual,active,starter,"[""snack""]",eggetarian
ANN-000428,ASC447,Kesar Biscuit,Saffron biscuit (Kesar biscuit),asc_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000845,BFP575,SOYA ROTI,Soya roti,bfp_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000796,BFP509,CHRISTMAS WREATH BISCUIT,Christmas wreath biscuit,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000204,ASC210,Baked Vegetable with spinach,Baked vegetables with spinach ,asc_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000472,ASC496,Mango squash,Mango squash (Aam ka squash),asc_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000898,OSR034,Sweet potato biscuits,Sweet potato biscuit (Shakarkand ke biscuit),open_source_recipes,active,dessert,"[""anytime""]",vegetarian
ANN-000622,BFP231,BAKED STUFFED FISH,Baked stuffed fish,bfp_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000799,BFP512,CHRISTMAS TREE BISCUIT,Christmas tree biscuit,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000836,BFP564,BAJRA MATHRI,Pearl millet mathri (Bajra mathri),bfp_manual,active,starter,"[""snack""]",vegetarian
ANN-000821,BFP547,SAJINA,Sajina,bfp_manual,active,review,"[""review""]",vegetarian
ANN-000162,ASC165,Rajmah curry,Kidney bean curry (Rajmah curry),asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000975,OSR114,Bhel puri,Bhel puri ,open_source_recipes,active,starter,"[""snack""]",vegetarian
ANN-000013,ASC014,Hot cocoa,Hot cocoa,asc_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000494,BFP005,Sambar Powder,Sambar powder (Sambar masala),bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000415,ASC433,Pineapple Cake,Pineapple cake ,asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000748,BFP440,INSTANT DHOKLA,Instant dhokla,bfp_manual,active,snack,"[""snack""]",vegetarian
ANN-000489,ASC515,Tomato Puree,Tomato puree,asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000816,BFP541,CREAM HORNS,Cream horns,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000138,ASC140,Chicken lasagne,Chicken lasagne,asc_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000148,ASC151,Washed Moong dal ,Washed moong dal (Dhuli moong ki dal),asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000626,BFP239,POTATO CURRY,Potato curry (Aloo ki sabzi),bfp_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000697,BFP354,COFFEE ICE CREAM,Coffee ice cream,bfp_manual,active,beverage,"[""breakfast"", ""snack""]",non_vegetarian
ANN-001012,OSR155,Maa chaane ki dal,Maa chaane ki dal,open_source_recipes,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000312,ASC323,Meringue and Rice Pudding,Meringue and rice pudding,asc_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000803,BFP518,CHEESE STRAWS,Cheese straws,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000217,ASC223,Methi Malai Paneer,Methi malai paneer,asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000689,BFP345,CARAMEL CUSTARD,Caramel custard (baked),bfp_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000826,BFP553,BANANA GROUNDNUT FOOD,Banana groundnut paste/puree,bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000730,BFP404,KHOA LADDOO,Khoa ladoo,bfp_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000572,BFP154,BEANS AND MACARONI,Beans and macaroni,bfp_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000131,ASC133,Macroni cheese pie,Macroni cheese pie,asc_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000956,OSR094,Masala Soufflé,Masala souffle ,open_source_recipes,active,dessert,"[""anytime""]",eggetarian
ANN-000384,ASC402,Minced Meat Pie,Minced meat pie,asc_manual,active,bakery,"[""breakfast"", ""snack""]",non_vegetarian
ANN-000713,BFP371,STEWED FRUIT,Stewed fruit (with pear),bfp_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000209,ASC215,Palak Paneer,Spinach paneer (Palak paneer),asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000638,BFP263,DRY ARBI,Dry arbi (Sookhi arbi),bfp_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000935,OSR072,Corn Omelet,Corn omelette/omlet,open_source_recipes,active,breakfast,"[""breakfast""]",eggetarian
ANN-000313,ASC324,Cheese Pudding,Cheese pudding,asc_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000496,BFP008,Steeped Hot Coffee,Steeped hot coffee,bfp_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000757,BFP451,CURD MINT DIP,Curd mint dip ,bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000343,ASC354,Mixed Vegetable Pakoras,Mixed vegetable pakora/pakoda,asc_manual,active,starter,"[""snack""]",vegetarian
ANN-000613,BFP217,CREAMY CHICKEN,Creamy chicken,bfp_manual,active,snack,"[""snack""]",non_vegetarian
ANN-000329,ASC340,Besan Burfi,Gram flour burfi (Besan burfi),asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000168,ASC172,Aloo capsicum,Potato capsicum (Shimla mirch aloo),asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000318,ASC329,Date and Nut Pie,Date and nut pie,asc_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000178,ASC183,Raw papaya with coconut,Raw papaya with coconut (Papaya thoran),asc_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000463,ASC485,Potato With Curd,Potato with curd,asc_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000096,ASC098,Potato Parantha,Potato parantha/paratha (Aloo ka parantha/paratha),asc_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000120,ASC122,Mutton Biryani,Mutton biryani/biriyani,asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",non_vegetarian
ANN-000827,BFP554,RICE DAL PORRIDGE,Rice dal porridge (Chawal dal ki khichdi/khichri),bfp_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000454,ASC473,Suji Carrot Vadas,Semolina carrot vada (Suji gajar vada),asc_manual,active,snack,"[""snack""]",vegetarian
ANN-000220,ASC226,Kadai Paneer,Kadhai Paneer,asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000272,ASC280,Gunjia,Gunjia,asc_manual,active,snack,"[""snack""]",vegetarian
ANN-000504,BFP029,CANJEE,Canjee,bfp_manual,active,snack,"[""snack""]",vegetarian
ANN-000115,ASC117,Sprouted Moong Pulao,Sprouted moong pulao,asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000459,ASC479,Spinach Soup in Milk,Spinach soup in milk ,asc_manual,active,soup,"[""lunch"", ""dinner""]",vegetarian
ANN-000154,ASC157,Whole Masoor,Whole masoor (Masoor ki dal),asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
